Jobkey,Jobtitle,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
baade6602f6ea9a3,Data & Applied Scientist II,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 06 Apr 2017 09:34:40 GMT","The problem space encompasses some of the biggest and most challenges problems in Computer Science (Machine Learning, Data Mining, Scalable algorithms),...",http://www.indeed.co.in/viewjob?jk=baade6602f6ea9a3&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,4 days ago
3074a76c043dbd41,Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Wed, 29 Mar 2017 05:24:17 GMT","Strong background in Natural Language Processing with Python,Create language models from text data. These language models draw heavily from:....",http://www.indeed.co.in/viewjob?jk=3074a76c043dbd41&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,13 days ago
7142dfb20cde264d,Data Scientist (IoT Manufacturing),Bangalore,KA,IN,"Bangalore, Karnataka","Fri, 07 Apr 2017 10:15:13 GMT",Ability to model data to identify patterns and outliers in the data. Should have expertise in data visualization....,http://www.indeed.co.in/viewjob?jk=7142dfb20cde264d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,3 days ago
b9fea3ce0a464d91,Data Scientist (IoT Manufacturing),Bangalore,KA,IN,"Bangalore, Karnataka","Fri, 07 Apr 2017 09:47:22 GMT",Ability to model data to identify patterns and outliers in the data. Should have expertise in data visualization....,http://www.indeed.co.in/viewjob?jk=b9fea3ce0a464d91&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,3 days ago
a669444e7c10df2f,Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 06 Apr 2017 10:31:15 GMT",Be a data enthusiast and a data skeptic; Have fun while driving innovation through data by challenging the status quo in education and learning and providing...,http://www.indeed.co.in/viewjob?jk=a669444e7c10df2f&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,4 days ago
71f89200e0425516,Senior Research Engineer/Data Scientist Bangalore,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 21 Mar 2017 21:49:50 GMT",Senior Research Engineer / Data Scientist. We are looking for passionate and self-driven research engineers/ data scientists to join our Bangalore centre....,http://www.indeed.co.in/viewjob?jk=71f89200e0425516&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,20 days ago
0d32af5927177a7b,Data Scientist Manager,Bangalore,KA,IN,"Bangalore, Karnataka","Wed, 29 Mar 2017 07:42:26 GMT","Citi GDM actively solves real life business problems in over 20 countries across the globe and with billions of customer interactions each month, GDM provides...",http://www.indeed.co.in/viewjob?jk=0d32af5927177a7b&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,13 days ago
ee2820b09e76a0e5,Risk Management Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 02 Mar 2017 12:34:48 GMT","If you are our Risk Management Data Scientist in Bangalore, India, you will have a chance to Responsibilities Collaborates with partner risk management teams to...",http://www.indeed.co.in/viewjob?jk=ee2820b09e76a0e5&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,30+ days ago
785ca9c990148730,Customer Experience Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Mon, 13 Feb 2017 12:35:08 GMT","As our data scientist, you will provide expertise on mathematical concepts for the team and inspire the adoption of advanced analytics and data science across...",http://www.indeed.co.in/viewjob?jk=785ca9c990148730&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,30+ days ago
138280b0c39b0008,DATA SCIENTIST – ANALYTICS,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 21 Mar 2017 12:29:40 GMT",Pre Processing large dataset and Data transformation. Worked on End to End Data Mining/Machine Learning Project Life Cycle....,http://www.indeed.co.in/viewjob?jk=138280b0c39b0008&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,20 days ago
