Skill,Bangalore
Java,50
Scala,11
Tableau,33
SQL,121
Hadoop,106
Spark,105
Pig,40
Hive,51
R,163
Python,199
SAS,30
NoSQL,51
Cassandra,21
MongoDB,33
HBase,13
Perl,17
Ruby,9
Excel,30
MapReduce,30
Matlab,40
Mahout,20
D3,10
JavaScript,5
