Skill,Austin
R,198
Python,192
Hadoop,160
SQL,158
Scala,60
SAS,145
Spark,83
D3,35
Excel,50
MapReduce,36
Cassandra,33
MongoDB,19
Oozie,14
NoSQL,54
HBase,21
Java,52
Ruby,15
Perl,15
Tableau,57
Hive,15
Matlab,2
Pig,2
