Skill,Boston
R,292
Python,264
Scala,29
SQL,284
NoSQL,12
Hadoop,130
Spark,120
SAS,84
Hive,37
Java,71
Perl,19
JavaScript,37
Matlab,54
MapReduce,24
MongoDB,18
Ruby,39
Pig,25
SPSS,56
Excel,65
Tableau,75
