Skill,Hyderabad
R,49
Python,86
Java,24
Matlab,21
NoSQL,1
Perl,6
JavaScript,5
Scala,11
Hadoop,35
Spark,32
SAS,24
MapReduce,16
SQL,74
Tableau,48
SPSS,24
Excel,12
Ruby,12
Pig,20
Hive,16
HBase,4
Oozie,4
