Skill,London
R,150
Python,170
Java,59
Ruby,1
Scala,18
Tableau,37
Hadoop,123
Spark,123
Pig,21
Hive,81
NoSQL,71
HBase,21
Cassandra,51
MongoDB,31
D3,2
SQL,157
Matlab,44
SAS,33
JavaScript,20
MapReduce,30
Mahout,10
Excel,13
