Skill,US
R,649
Python,688
Excel,122
Tableau,225
SQL,710
Java,173
Hadoop,268
SPSS,66
Spark,337
Pig,60
Hive,148
MapReduce,51
Matlab,149
Scala,158
JavaScript,34
D3,16
SAS,289
Perl,45
Mahout,54
HBase,58
NoSQL,101
Ruby,50
Cassandra,25
MongoDB,25
