Skill,Berlin
R,183
Python,205
Ruby,2
SQL,99
Java,102
Scala,44
Hadoop,67
Spark,65
Excel,48
Hive,46
Tableau,36
NoSQL,6
SAS,27
Matlab,20
SPSS,10
D3,10
MongoDB,10
JavaScript,4
