Skill,India
Java,128
Scala,25
Tableau,108
SQL,289
R,336
Python,322
Matlab,83
NoSQL,104
Perl,43
Hadoop,241
Spark,129
Pig,71
Hive,101
SAS,138
MapReduce,63
Cassandra,27
MongoDB,27
HBase,19
Ruby,43
JavaScript,20
SPSS,49
Excel,42
