Skill,SF
R,207
Python,286
Java,113
Tableau,75
Spark,219
SQL,238
Scala,51
Hadoop,169
Matlab,38
SAS,30
MapReduce,43
Pig,31
Hive,98
Mahout,4
NoSQL,32
Perl,14
HBase,15
Excel,54
SPSS,33
MongoDB,13
Ruby,5
